source_id,target_id,ownership_percentage,ownership_type,effective_from,effective_to,disclosure_source,disclosure_date
P-022,E-022,47,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-052,E-022,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-023,E-023,48,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-053,E-023,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-024,E-024,49,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-054,E-024,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-025,E-025,50,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-055,E-025,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-026,E-026,51,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-056,E-026,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-027,E-027,52,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-057,E-027,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-028,E-028,53,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-058,E-028,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-029,E-029,54,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-059,E-029,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-030,E-030,55,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-060,E-030,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-031,E-031,56,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-061,E-031,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-032,E-032,57,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-062,E-032,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-033,E-033,58,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-063,E-033,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-034,E-034,59,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-064,E-034,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-035,E-035,60,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-065,E-035,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-036,E-036,61,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-066,E-036,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-037,E-037,62,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-067,E-037,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-038,E-038,63,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-068,E-038,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-039,E-039,64,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-069,E-039,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-040,E-040,25,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-070,E-040,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-041,E-041,26,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-071,E-041,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-042,E-042,27,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-072,E-042,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-043,E-043,28,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-073,E-043,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-044,E-044,29,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-074,E-044,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-045,E-045,30,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-075,E-045,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-046,E-046,31,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-076,E-046,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-047,E-047,32,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-077,E-047,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-048,E-048,33,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-078,E-048,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-049,E-049,34,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-079,E-049,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-050,E-050,35,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-080,E-050,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-051,E-051,36,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-081,E-051,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-052,E-052,37,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-082,E-052,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-053,E-053,38,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-083,E-053,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-054,E-054,39,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-084,E-054,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-055,E-055,40,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-085,E-055,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-056,E-056,41,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-086,E-056,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-057,E-057,42,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-087,E-057,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-058,E-058,43,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-088,E-058,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-059,E-059,44,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-089,E-059,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-060,E-060,45,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-090,E-060,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-061,E-061,46,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-091,E-061,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-062,E-062,47,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-092,E-062,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-063,E-063,48,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-093,E-063,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-064,E-064,49,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-094,E-064,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-065,E-065,50,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-095,E-065,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-066,E-066,51,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-096,E-066,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-067,E-067,52,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-097,E-067,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-068,E-068,53,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-098,E-068,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-069,E-069,54,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-099,E-069,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-070,E-070,55,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-100,E-070,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-071,E-071,56,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-101,E-071,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-072,E-072,57,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-102,E-072,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-073,E-073,58,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-103,E-073,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-074,E-074,59,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-104,E-074,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-075,E-075,60,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-105,E-075,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-076,E-076,61,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-106,E-076,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-077,E-077,62,direct_economic,2024-01-01,,uk_psc,2025-01-15
E-107,E-077,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-078,E-078,63,direct_economic,2024-01-01,,eu_ubo,2025-01-15
E-108,E-078,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-079,E-079,64,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
E-109,E-079,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-080,E-080,25,direct_economic,2024-01-01,,fincen_boi,2025-01-15
E-110,E-080,100,indirect_calculated,2023-01-01,,opencorporates,2024-06-30
P-081,E-081,26,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-082,E-082,27,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-083,E-083,28,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-084,E-084,29,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-085,E-085,30,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-086,E-086,31,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-087,E-087,32,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-088,E-088,33,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-089,E-089,34,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-090,E-090,35,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-091,E-091,36,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-092,E-092,37,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-093,E-093,38,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-094,E-094,39,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-095,E-095,40,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-096,E-096,41,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-097,E-097,42,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-098,E-098,43,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-099,E-099,44,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-100,E-100,45,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-101,E-101,46,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-102,E-102,47,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-103,E-103,48,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-104,E-104,49,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-105,E-105,50,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-106,E-106,51,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-107,E-107,52,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-108,E-108,53,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-109,E-109,54,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-110,E-110,55,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-111,E-111,56,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-112,E-112,57,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-113,E-113,58,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-114,E-114,59,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-115,E-115,60,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-116,E-116,61,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-117,E-117,62,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-118,E-118,63,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-119,E-119,64,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-120,E-120,25,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-001,E-121,26,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-002,E-122,27,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-003,E-123,28,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-004,E-124,29,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-005,E-125,30,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-006,E-126,31,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-007,E-127,32,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-008,E-128,33,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-009,E-129,34,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-010,E-130,35,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-011,E-131,36,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-012,E-132,37,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-013,E-133,38,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-014,E-134,39,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-015,E-135,40,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-016,E-136,41,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-017,E-137,42,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-018,E-138,43,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-019,E-139,44,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-020,E-140,45,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-021,E-141,46,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-022,E-142,47,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-023,E-143,48,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-024,E-144,49,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-025,E-145,50,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-026,E-146,51,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-027,E-147,52,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-028,E-148,53,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-029,E-149,54,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-030,E-150,55,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-031,E-151,56,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-032,E-152,57,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-033,E-153,58,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-034,E-154,59,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-035,E-155,60,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-036,E-156,61,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-037,E-157,62,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-038,E-158,63,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-039,E-159,64,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-040,E-160,25,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-041,E-161,26,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-042,E-162,27,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-043,E-163,28,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-044,E-164,29,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-045,E-165,30,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-046,E-166,31,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-047,E-167,32,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-048,E-168,33,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-049,E-169,34,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-050,E-170,35,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-051,E-171,36,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-052,E-172,37,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-053,E-173,38,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-054,E-174,39,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-055,E-175,40,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-056,E-176,41,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-057,E-177,42,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-058,E-178,43,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-059,E-179,44,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-060,E-180,45,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-061,E-181,46,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-062,E-182,47,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-063,E-183,48,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-064,E-184,49,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-065,E-185,50,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-066,E-186,51,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-067,E-187,52,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-068,E-188,53,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-069,E-189,54,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-070,E-190,55,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-071,E-191,56,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-072,E-192,57,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-073,E-193,58,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-074,E-194,59,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-075,E-195,60,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-076,E-196,61,direct_economic,2024-01-01,,fincen_boi,2025-01-15
P-077,E-197,62,direct_economic,2024-01-01,,uk_psc,2025-01-15
P-078,E-198,63,direct_economic,2024-01-01,,eu_ubo,2025-01-15
P-079,E-199,64,direct_economic,2024-01-01,,voluntary_disclosure,2025-01-15
P-080,E-200,25,direct_economic,2024-01-01,,fincen_boi,2025-01-15
