entity_id,legal_name,jurisdiction_of_incorporation,entity_type,incorporation_date,dissolution_date
E-134,Entity 134 Holdings,VG,partnership,2014-01-01,
E-135,Entity 135 Holdings,US,trust,2015-01-01,
E-136,Entity 136 Holdings,GB,corporation,2016-01-01,
E-137,Entity 137 Holdings,DE,llc,2017-01-01,
E-138,Entity 138 Holdings,KY,partnership,2018-01-01,
E-139,Entity 139 Holdings,VG,trust,2019-01-01,
E-140,Entity 140 Holdings,US,corporation,2010-01-01,
E-141,Entity 141 Holdings,GB,llc,2011-01-01,
E-142,Entity 142 Holdings,DE,partnership,2012-01-01,
E-143,Entity 143 Holdings,KY,trust,2013-01-01,
E-144,Entity 144 Holdings,VG,corporation,2014-01-01,
E-145,Entity 145 Holdings,US,llc,2015-01-01,
E-146,Entity 146 Holdings,GB,partnership,2016-01-01,
E-147,Entity 147 Holdings,DE,trust,2017-01-01,
E-148,Entity 148 Holdings,KY,corporation,2018-01-01,
E-149,Entity 149 Holdings,VG,llc,2019-01-01,
E-150,Entity 150 Holdings,US,partnership,2010-01-01,
E-151,Entity 151 Holdings,GB,trust,2011-01-01,
E-152,Entity 152 Holdings,DE,corporation,2012-01-01,
E-153,Entity 153 Holdings,KY,llc,2013-01-01,
E-154,Entity 154 Holdings,VG,partnership,2014-01-01,
E-155,Entity 155 Holdings,US,trust,2015-01-01,
E-156,Entity 156 Holdings,GB,corporation,2016-01-01,
E-157,Entity 157 Holdings,DE,llc,2017-01-01,
E-158,Entity 158 Holdings,KY,partnership,2018-01-01,
E-159,Entity 159 Holdings,VG,trust,2019-01-01,
E-160,Entity 160 Holdings,US,corporation,2010-01-01,
E-161,Entity 161 Holdings,GB,llc,2011-01-01,
E-162,Entity 162 Holdings,DE,partnership,2012-01-01,
E-163,Entity 163 Holdings,KY,trust,2013-01-01,
E-164,Entity 164 Holdings,VG,corporation,2014-01-01,
E-165,Entity 165 Holdings,US,llc,2015-01-01,
E-166,Entity 166 Holdings,GB,partnership,2016-01-01,
E-167,Entity 167 Holdings,DE,trust,2017-01-01,
E-168,Entity 168 Holdings,KY,corporation,2018-01-01,
E-169,Entity 169 Holdings,VG,llc,2019-01-01,
E-170,Entity 170 Holdings,US,partnership,2010-01-01,
E-171,Entity 171 Holdings,GB,trust,2011-01-01,
E-172,Entity 172 Holdings,DE,corporation,2012-01-01,
E-173,Entity 173 Holdings,KY,llc,2013-01-01,
E-174,Entity 174 Holdings,VG,partnership,2014-01-01,
E-175,Entity 175 Holdings,US,trust,2015-01-01,
E-176,Entity 176 Holdings,GB,corporation,2016-01-01,
E-177,Entity 177 Holdings,DE,llc,2017-01-01,
E-178,Entity 178 Holdings,KY,partnership,2018-01-01,
E-179,Entity 179 Holdings,VG,trust,2019-01-01,
E-180,Entity 180 Holdings,US,corporation,2010-01-01,
E-181,Entity 181 Holdings,GB,llc,2011-01-01,
E-182,Entity 182 Holdings,DE,partnership,2012-01-01,
E-183,Entity 183 Holdings,KY,trust,2013-01-01,
E-184,Entity 184 Holdings,VG,corporation,2014-01-01,
E-185,Entity 185 Holdings,US,llc,2015-01-01,
E-186,Entity 186 Holdings,GB,partnership,2016-01-01,
E-187,Entity 187 Holdings,DE,trust,2017-01-01,
E-188,Entity 188 Holdings,KY,corporation,2018-01-01,
E-189,Entity 189 Holdings,VG,llc,2019-01-01,
E-190,Entity 190 Holdings,US,partnership,2010-01-01,
E-191,Entity 191 Holdings,GB,trust,2011-01-01,
E-192,Entity 192 Holdings,DE,corporation,2012-01-01,
E-193,Entity 193 Holdings,KY,llc,2013-01-01,
E-194,Entity 194 Holdings,VG,partnership,2014-01-01,
E-195,Entity 195 Holdings,US,trust,2015-01-01,
E-196,Entity 196 Holdings,GB,corporation,2016-01-01,
E-197,Entity 197 Holdings,DE,llc,2017-01-01,
E-198,Entity 198 Holdings,KY,partnership,2018-01-01,
E-199,Entity 199 Holdings,VG,trust,2019-01-01,
E-200,Entity 200 Holdings,US,corporation,2010-01-01,
