entity_id,country_code,registration_date,registration_number
E-075,US,2015-01-01,REG-000075
E-076,GB,2016-01-01,REG-000076
E-077,DE,2017-01-01,REG-000077
E-078,KY,2018-01-01,REG-000078
E-079,VG,2019-01-01,REG-000079
E-080,US,2010-01-01,REG-000080
E-081,GB,2011-01-01,REG-000081
E-082,DE,2012-01-01,REG-000082
E-083,KY,2013-01-01,REG-000083
E-084,VG,2014-01-01,REG-000084
E-085,US,2015-01-01,REG-000085
E-086,GB,2016-01-01,REG-000086
E-087,DE,2017-01-01,REG-000087
E-088,KY,2018-01-01,REG-000088
E-089,VG,2019-01-01,REG-000089
E-090,US,2010-01-01,REG-000090
E-091,GB,2011-01-01,REG-000091
E-092,DE,2012-01-01,REG-000092
E-093,KY,2013-01-01,REG-000093
E-094,VG,2014-01-01,REG-000094
E-095,US,2015-01-01,REG-000095
E-096,GB,2016-01-01,REG-000096
E-097,DE,2017-01-01,REG-000097
E-098,KY,2018-01-01,REG-000098
E-099,VG,2019-01-01,REG-000099
E-100,US,2010-01-01,REG-000100
E-101,GB,2011-01-01,REG-000101
E-102,DE,2012-01-01,REG-000102
E-103,KY,2013-01-01,REG-000103
E-104,VG,2014-01-01,REG-000104
E-105,US,2015-01-01,REG-000105
E-106,GB,2016-01-01,REG-000106
E-107,DE,2017-01-01,REG-000107
E-108,KY,2018-01-01,REG-000108
E-109,VG,2019-01-01,REG-000109
E-110,US,2010-01-01,REG-000110
E-111,GB,2011-01-01,REG-000111
E-112,DE,2012-01-01,REG-000112
E-113,KY,2013-01-01,REG-000113
E-114,VG,2014-01-01,REG-000114
E-115,US,2015-01-01,REG-000115
E-116,GB,2016-01-01,REG-000116
E-117,DE,2017-01-01,REG-000117
E-118,KY,2018-01-01,REG-000118
E-119,VG,2019-01-01,REG-000119
E-120,US,2010-01-01,REG-000120
E-121,GB,2011-01-01,REG-000121
E-122,DE,2012-01-01,REG-000122
E-123,KY,2013-01-01,REG-000123
E-124,VG,2014-01-01,REG-000124
E-125,US,2015-01-01,REG-000125
E-126,GB,2016-01-01,REG-000126
E-127,DE,2017-01-01,REG-000127
E-128,KY,2018-01-01,REG-000128
E-129,VG,2019-01-01,REG-000129
E-130,US,2010-01-01,REG-000130
E-131,GB,2011-01-01,REG-000131
E-132,DE,2012-01-01,REG-000132
E-133,KY,2013-01-01,REG-000133
E-134,VG,2014-01-01,REG-000134
E-135,US,2015-01-01,REG-000135
E-136,GB,2016-01-01,REG-000136
E-137,DE,2017-01-01,REG-000137
E-138,KY,2018-01-01,REG-000138
E-139,VG,2019-01-01,REG-000139
E-140,US,2010-01-01,REG-000140
E-141,GB,2011-01-01,REG-000141
E-142,DE,2012-01-01,REG-000142
E-143,KY,2013-01-01,REG-000143
E-144,VG,2014-01-01,REG-000144
E-145,US,2015-01-01,REG-000145
E-146,GB,2016-01-01,REG-000146
E-147,DE,2017-01-01,REG-000147
E-148,KY,2018-01-01,REG-000148
E-149,VG,2019-01-01,REG-000149
E-150,US,2010-01-01,REG-000150
E-151,GB,2011-01-01,REG-000151
E-152,DE,2012-01-01,REG-000152
E-153,KY,2013-01-01,REG-000153
E-154,VG,2014-01-01,REG-000154
E-155,US,2015-01-01,REG-000155
E-156,GB,2016-01-01,REG-000156
E-157,DE,2017-01-01,REG-000157
E-158,KY,2018-01-01,REG-000158
E-159,VG,2019-01-01,REG-000159
E-160,US,2010-01-01,REG-000160
E-161,GB,2011-01-01,REG-000161
E-162,DE,2012-01-01,REG-000162
E-163,KY,2013-01-01,REG-000163
E-164,VG,2014-01-01,REG-000164
E-165,US,2015-01-01,REG-000165
E-166,GB,2016-01-01,REG-000166
E-167,DE,2017-01-01,REG-000167
E-168,KY,2018-01-01,REG-000168
E-169,VG,2019-01-01,REG-000169
E-170,US,2010-01-01,REG-000170
E-171,GB,2011-01-01,REG-000171
E-172,DE,2012-01-01,REG-000172
E-173,KY,2013-01-01,REG-000173
E-174,VG,2014-01-01,REG-000174
E-175,US,2015-01-01,REG-000175
E-176,GB,2016-01-01,REG-000176
E-177,DE,2017-01-01,REG-000177
E-178,KY,2018-01-01,REG-000178
E-179,VG,2019-01-01,REG-000179
E-180,US,2010-01-01,REG-000180
E-181,GB,2011-01-01,REG-000181
E-182,DE,2012-01-01,REG-000182
E-183,KY,2013-01-01,REG-000183
E-184,VG,2014-01-01,REG-000184
E-185,US,2015-01-01,REG-000185
E-186,GB,2016-01-01,REG-000186
E-187,DE,2017-01-01,REG-000187
E-188,KY,2018-01-01,REG-000188
E-189,VG,2019-01-01,REG-000189
E-190,US,2010-01-01,REG-000190
E-191,GB,2011-01-01,REG-000191
E-192,DE,2012-01-01,REG-000192
E-193,KY,2013-01-01,REG-000193
E-194,VG,2014-01-01,REG-000194
E-195,US,2015-01-01,REG-000195
E-196,GB,2016-01-01,REG-000196
E-197,DE,2017-01-01,REG-000197
E-198,KY,2018-01-01,REG-000198
E-199,VG,2019-01-01,REG-000199
E-200,US,2010-01-01,REG-000200
