owner_kind,owner_uid,owner_full_name,owner_jurisdiction,owner_sanctioned,entity_uid,entity_legal_name,entity_jurisdiction,entity_type,percentage,effective_date,source_filing_ref
Person,P-0002,Person 02,US-DE,1,E-0011,Entity 011,US-DE,HoldCo,0.6776,2024-12-31,SYNTH-E-0011-2024-001
Person,P-0008,Person 08,US-NY,0,E-0012,Entity 012,US-DE,HoldCo,0.4763,2024-12-31,SYNTH-E-0012-2024-001
Person,P-0007,Person 07,US-NY,0,E-0012,Entity 012,US-DE,HoldCo,0.5237,2024-12-31,SYNTH-E-0012-2024-001
Person,P-0003,Person 03,US-DE,0,E-0013,Entity 013,KY,SPV,0.3904,2024-12-31,SYNTH-E-0013-2024-001
Entity,E-0071,Entity 071,SG,0,E-0013,Entity 013,KY,SPV,0.3672,2024-12-31,SYNTH-E-0013-2024-001
Person,P-0002,Person 02,US-DE,1,E-0013,Entity 013,KY,SPV,0.2424,2024-12-31,SYNTH-E-0013-2024-001
Person,P-0006,Person 06,US-NY,0,E-0014,Entity 014,KY,OperatingCo,0.3563,2024-12-31,SYNTH-E-0014-2024-001
Entity,E-0063,Entity 063,LU,0,E-0014,Entity 014,KY,OperatingCo,0.2981,2024-12-31,SYNTH-E-0014-2024-001
Entity,E-0028,Entity 028,KY,0,E-0014,Entity 014,KY,OperatingCo,0.3456,2024-12-31,SYNTH-E-0014-2024-001
Person,P-0013,Person 13,LU,0,E-0015,Entity 015,SG,HoldCo,0.8457,2024-12-31,SYNTH-E-0015-2024-001
Entity,E-0059,Entity 059,US-DE,0,E-0015,Entity 015,SG,HoldCo,0.1543,2024-12-31,SYNTH-E-0015-2024-001
Entity,E-0020,Entity 020,KY,0,E-0016,Entity 016,LU,OperatingCo,0.3065,2024-12-31,SYNTH-E-0016-2024-001
Person,P-0010,Person 10,US-DE,0,E-0016,Entity 016,LU,OperatingCo,0.6935,2024-12-31,SYNTH-E-0016-2024-001
Person,P-0024,Person 24,US-DE,0,E-0017,Entity 017,BVI,OperatingCo,1.0,2024-12-31,SYNTH-E-0017-2024-001
Person,P-0002,Person 02,US-DE,1,E-0018,Entity 018,LU,HoldCo,0.0891,2024-12-31,SYNTH-E-0018-2024-001
Person,P-0006,Person 06,US-NY,0,E-0018,Entity 018,LU,HoldCo,0.9109,2024-12-31,SYNTH-E-0018-2024-001
Person,P-0013,Person 13,LU,0,E-0019,Entity 019,SG,SPV,1.0,2024-12-31,SYNTH-E-0019-2024-001
Person,P-0019,Person 19,US-DE,0,E-0020,Entity 020,KY,SPV,1.0,2024-12-31,SYNTH-E-0020-2024-001
Entity,E-0034,Entity 034,SG,0,E-0021,Entity 021,US-NY,SPV,0.051,2024-12-31,SYNTH-E-0021-2024-001
Person,P-0022,Person 22,LU,0,E-0021,Entity 021,US-NY,SPV,0.1052,2024-12-31,SYNTH-E-0021-2024-001
Entity,E-0031,Entity 031,KY,0,E-0021,Entity 021,US-NY,SPV,0.8438,2024-12-31,SYNTH-E-0021-2024-001
Entity,E-0059,Entity 059,US-DE,0,E-0022,Entity 022,US-DE,OperatingCo,0.3708,2024-12-31,SYNTH-E-0022-2024-001
Entity,E-0010,Entity 010,KY,0,E-0022,Entity 022,US-DE,OperatingCo,0.6292,2024-12-31,SYNTH-E-0022-2024-001
Person,P-0003,Person 03,US-DE,0,E-0023,Entity 023,SG,OperatingCo,1.0,2024-12-31,SYNTH-E-0023-2024-001
Person,P-0008,Person 08,US-NY,0,E-0024,Entity 024,KY,OperatingCo,0.151,2024-12-31,SYNTH-E-0024-2024-001
Entity,E-0037,Entity 037,BVI,0,E-0024,Entity 024,KY,OperatingCo,0.1879,2024-12-31,SYNTH-E-0024-2024-001
Person,P-0015,Person 15,LU,0,E-0024,Entity 024,KY,OperatingCo,0.6611,2024-12-31,SYNTH-E-0024-2024-001
Person,P-0022,Person 22,LU,0,E-0025,Entity 025,US-NY,OperatingCo,0.3056,2024-12-31,SYNTH-E-0025-2024-001
Entity,E-0014,Entity 014,KY,0,E-0025,Entity 025,US-NY,OperatingCo,0.2657,2024-12-31,SYNTH-E-0025-2024-001
Person,P-0009,Person 09,SG,0,E-0025,Entity 025,US-NY,OperatingCo,0.4287,2024-12-31,SYNTH-E-0025-2024-001
Person,P-0009,Person 09,SG,0,E-0026,Entity 026,BVI,HoldCo,1.0,2024-12-31,SYNTH-E-0026-2024-001
Person,P-0022,Person 22,LU,0,E-0027,Entity 027,BVI,SPV,0.4574,2024-12-31,SYNTH-E-0027-2024-001
Entity,E-0065,Entity 065,LU,0,E-0027,Entity 027,BVI,SPV,0.5426,2024-12-31,SYNTH-E-0027-2024-001
Person,P-0003,Person 03,US-DE,0,E-0028,Entity 028,KY,OperatingCo,0.2166,2024-12-31,SYNTH-E-0028-2024-001
Entity,E-0036,Entity 036,US-NY,0,E-0028,Entity 028,KY,OperatingCo,0.7834,2024-12-31,SYNTH-E-0028-2024-001
Person,P-0021,Person 21,US-NY,0,E-0029,Entity 029,KY,HoldCo,1.0,2024-12-31,SYNTH-E-0029-2024-001
Entity,E-0072,Entity 072,US-DE,0,E-0030,Entity 030,US-NY,SPV,0.2678,2024-12-31,SYNTH-E-0030-2024-001
Person,P-0004,Person 04,SG,0,E-0030,Entity 030,US-NY,SPV,0.7322,2024-12-31,SYNTH-E-0030-2024-001
Person,P-0018,Person 18,US-DE,0,E-0031,Entity 031,KY,SPV,1.0,2024-12-31,SYNTH-E-0031-2024-001
Person,P-0014,Person 14,US-DE,0,E-0032,Entity 032,SG,SPV,1.0,2024-12-31,SYNTH-E-0032-2024-001
Entity,E-0006,Entity 006,US-DE,0,E-0033,Entity 033,US-DE,SPV,1.0,2024-12-31,SYNTH-E-0033-2024-001
Person,P-0012,Person 12,SG,0,E-0034,Entity 034,SG,OperatingCo,0.4571,2024-12-31,SYNTH-E-0034-2024-001
Entity,E-0020,Entity 020,KY,0,E-0034,Entity 034,SG,OperatingCo,0.5429,2024-12-31,SYNTH-E-0034-2024-001
Person,P-0014,Person 14,US-DE,0,E-0035,Entity 035,LU,SPV,1.0,2024-12-31,SYNTH-E-0035-2024-001
Entity,E-0053,Entity 053,LU,0,E-0036,Entity 036,US-NY,OperatingCo,1.0,2024-12-31,SYNTH-E-0036-2024-001
Person,P-0013,Person 13,LU,0,E-0037,Entity 037,BVI,HoldCo,0.445,2024-12-31,SYNTH-E-0037-2024-001
Person,P-0016,Person 16,BVI,0,E-0037,Entity 037,BVI,HoldCo,0.4176,2024-12-31,SYNTH-E-0037-2024-001
Person,P-0007,Person 07,US-NY,0,E-0037,Entity 037,BVI,HoldCo,0.1374,2024-12-31,SYNTH-E-0037-2024-001
Person,P-0008,Person 08,US-NY,0,E-0038,Entity 038,KY,SPV,0.2988,2024-12-31,SYNTH-E-0038-2024-001
Person,P-0022,Person 22,LU,0,E-0038,Entity 038,KY,SPV,0.7012,2024-12-31,SYNTH-E-0038-2024-001
Entity,E-0009,Entity 009,US-NY,0,E-0039,Entity 039,SG,SPV,1.0,2024-12-31,SYNTH-E-0039-2024-001
Entity,E-0004,Entity 004,US-NY,0,E-0040,Entity 040,US-NY,SPV,0.408,2024-12-31,SYNTH-E-0040-2024-001
Person,P-0009,Person 09,SG,0,E-0040,Entity 040,US-NY,SPV,0.592,2024-12-31,SYNTH-E-0040-2024-001
Entity,E-0005,Entity 005,LU,0,E-0041,Entity 041,KY,OperatingCo,1.0,2024-12-31,SYNTH-E-0041-2024-001
Entity,E-0041,Entity 041,KY,0,E-0042,Entity 042,US-NY,OperatingCo,1.0,2024-12-31,SYNTH-E-0042-2024-001
Entity,E-0074,Entity 074,BVI,0,E-0043,Entity 043,KY,HoldCo,0.5424,2024-12-31,SYNTH-E-0043-2024-001
Person,P-0009,Person 09,SG,0,E-0043,Entity 043,KY,HoldCo,0.4576,2024-12-31,SYNTH-E-0043-2024-001
Person,P-0017,Person 17,US-DE,0,E-0044,Entity 044,KY,OperatingCo,1.0,2024-12-31,SYNTH-E-0044-2024-001
Person,P-0012,Person 12,SG,0,E-0045,Entity 045,US-NY,SPV,0.2905,2024-12-31,SYNTH-E-0045-2024-001
Entity,E-0009,Entity 009,US-NY,0,E-0045,Entity 045,US-NY,SPV,0.3977,2024-12-31,SYNTH-E-0045-2024-001
Entity,E-0041,Entity 041,KY,0,E-0045,Entity 045,US-NY,SPV,0.3118,2024-12-31,SYNTH-E-0045-2024-001
Entity,E-0053,Entity 053,LU,0,E-0046,Entity 046,SG,HoldCo,0.4539,2024-12-31,SYNTH-E-0046-2024-001
Entity,E-0052,Entity 052,SG,0,E-0046,Entity 046,SG,HoldCo,0.3853,2024-12-31,SYNTH-E-0046-2024-001
Entity,E-0071,Entity 071,SG,0,E-0046,Entity 046,SG,HoldCo,0.1608,2024-12-31,SYNTH-E-0046-2024-001
Entity,E-0023,Entity 023,SG,0,E-0047,Entity 047,US-NY,SPV,1.0,2024-12-31,SYNTH-E-0047-2024-001
Entity,E-0037,Entity 037,BVI,0,E-0048,Entity 048,BVI,HoldCo,0.3146,2024-12-31,SYNTH-E-0048-2024-001
Person,P-0014,Person 14,US-DE,0,E-0048,Entity 048,BVI,HoldCo,0.2245,2024-12-31,SYNTH-E-0048-2024-001
Entity,E-0060,Entity 060,US-DE,0,E-0048,Entity 048,BVI,HoldCo,0.4609,2024-12-31,SYNTH-E-0048-2024-001
Entity,E-0022,Entity 022,US-DE,0,E-0049,Entity 049,SG,HoldCo,0.6742,2024-12-31,SYNTH-E-0049-2024-001
Person,P-0010,Person 10,US-DE,0,E-0049,Entity 049,SG,HoldCo,0.3258,2024-12-31,SYNTH-E-0049-2024-001
Person,P-0022,Person 22,LU,0,E-0050,Entity 050,US-NY,HoldCo,0.4823,2024-12-31,SYNTH-E-0050-2024-001
Entity,E-0029,Entity 029,KY,0,E-0050,Entity 050,US-NY,HoldCo,0.4499,2024-12-31,SYNTH-E-0050-2024-001
Person,P-0005,Person 05,KY,0,E-0050,Entity 050,US-NY,HoldCo,0.0678,2024-12-31,SYNTH-E-0050-2024-001
Entity,E-0010,Entity 010,KY,0,E-0051,Entity 051,US-NY,OperatingCo,1.0,2024-12-31,SYNTH-E-0051-2024-001
Person,P-0023,Person 23,LU,0,E-0052,Entity 052,SG,SPV,0.3969,2024-12-31,SYNTH-E-0052-2024-001
Entity,E-0064,Entity 064,BVI,0,E-0052,Entity 052,SG,SPV,0.6031,2024-12-31,SYNTH-E-0052-2024-001
Person,P-0025,Person 25,LU,0,E-0053,Entity 053,LU,HoldCo,0.2711,2024-12-31,SYNTH-E-0053-2024-001
Person,P-0025,Person 25,LU,0,E-0053,Entity 053,LU,HoldCo,0.7289,2024-12-31,SYNTH-E-0053-2024-001
Entity,E-0007,Entity 007,SG,0,E-0054,Entity 054,SG,SPV,0.2139,2024-12-31,SYNTH-E-0054-2024-001
Person,P-0004,Person 04,SG,0,E-0054,Entity 054,SG,SPV,0.7861,2024-12-31,SYNTH-E-0054-2024-001
Entity,E-0057,Entity 057,US-NY,0,E-0055,Entity 055,BVI,SPV,0.223,2024-12-31,SYNTH-E-0055-2024-001
Entity,E-0071,Entity 071,SG,0,E-0055,Entity 055,BVI,SPV,0.777,2024-12-31,SYNTH-E-0055-2024-001
Entity,E-0058,Entity 058,LU,0,E-0056,Entity 056,BVI,HoldCo,0.5468,2024-12-31,SYNTH-E-0056-2024-001
Entity,E-0032,Entity 032,SG,0,E-0056,Entity 056,BVI,HoldCo,0.4532,2024-12-31,SYNTH-E-0056-2024-001
Person,P-0009,Person 09,SG,0,E-0057,Entity 057,US-NY,OperatingCo,0.1801,2024-12-31,SYNTH-E-0057-2024-001
Entity,E-0010,Entity 010,KY,0,E-0057,Entity 057,US-NY,OperatingCo,0.5051,2024-12-31,SYNTH-E-0057-2024-001
Entity,E-0031,Entity 031,KY,0,E-0057,Entity 057,US-NY,OperatingCo,0.3148,2024-12-31,SYNTH-E-0057-2024-001
Person,P-0005,Person 05,KY,0,E-0058,Entity 058,LU,HoldCo,0.2733,2024-12-31,SYNTH-E-0058-2024-001
Person,P-0008,Person 08,US-NY,0,E-0058,Entity 058,LU,HoldCo,0.7267,2024-12-31,SYNTH-E-0058-2024-001
Person,P-0014,Person 14,US-DE,0,E-0059,Entity 059,US-DE,OperatingCo,0.4955,2024-12-31,SYNTH-E-0059-2024-001
Entity,E-0043,Entity 043,KY,0,E-0059,Entity 059,US-DE,OperatingCo,0.5045,2024-12-31,SYNTH-E-0059-2024-001
Entity,E-0075,Entity 075,SG,0,E-0060,Entity 060,US-DE,OperatingCo,0.3423,2024-12-31,SYNTH-E-0060-2024-001
Person,P-0025,Person 25,LU,0,E-0060,Entity 060,US-DE,OperatingCo,0.0457,2024-12-31,SYNTH-E-0060-2024-001
Entity,E-0062,Entity 062,SG,0,E-0060,Entity 060,US-DE,OperatingCo,0.612,2024-12-31,SYNTH-E-0060-2024-001
Entity,E-0050,Entity 050,US-NY,0,E-0061,Entity 061,SG,OperatingCo,1.0,2024-12-31,SYNTH-E-0061-2024-001
Person,P-0016,Person 16,BVI,0,E-0062,Entity 062,SG,HoldCo,0.4228,2024-12-31,SYNTH-E-0062-2024-001
Person,P-0009,Person 09,SG,0,E-0062,Entity 062,SG,HoldCo,0.5772,2024-12-31,SYNTH-E-0062-2024-001
Entity,E-0022,Entity 022,US-DE,0,E-0063,Entity 063,LU,OperatingCo,0.5553,2024-12-31,SYNTH-E-0063-2024-001
Entity,E-0017,Entity 017,BVI,0,E-0063,Entity 063,LU,OperatingCo,0.4447,2024-12-31,SYNTH-E-0063-2024-001
Person,P-0003,Person 03,US-DE,0,E-0064,Entity 064,BVI,HoldCo,0.2627,2024-12-31,SYNTH-E-0064-2024-001
Entity,E-0018,Entity 018,LU,0,E-0064,Entity 064,BVI,HoldCo,0.4461,2024-12-31,SYNTH-E-0064-2024-001
Entity,E-0024,Entity 024,KY,0,E-0064,Entity 064,BVI,HoldCo,0.2912,2024-12-31,SYNTH-E-0064-2024-001
Entity,E-0028,Entity 028,KY,0,E-0065,Entity 065,LU,HoldCo,1.0,2024-12-31,SYNTH-E-0065-2024-001
Entity,E-0036,Entity 036,US-NY,0,E-0066,Entity 066,LU,HoldCo,0.3004,2024-12-31,SYNTH-E-0066-2024-001
Entity,E-0033,Entity 033,US-DE,0,E-0066,Entity 066,LU,HoldCo,0.6996,2024-12-31,SYNTH-E-0066-2024-001
Person,P-0012,Person 12,SG,0,E-0067,Entity 067,LU,OperatingCo,1.0,2024-12-31,SYNTH-E-0067-2024-001
Person,P-0025,Person 25,LU,0,E-0068,Entity 068,SG,SPV,1.0,2024-12-31,SYNTH-E-0068-2024-001
Person,P-0001,Person 01,SG,1,E-0069,Entity 069,US-DE,SPV,1.0,2024-12-31,SYNTH-E-0069-2024-001
Person,P-0015,Person 15,LU,0,E-0070,Entity 070,LU,HoldCo,0.1607,2024-12-31,SYNTH-E-0070-2024-001
Entity,E-0048,Entity 048,BVI,0,E-0070,Entity 070,LU,HoldCo,0.1331,2024-12-31,SYNTH-E-0070-2024-001
Person,P-0020,Person 20,US-NY,0,E-0070,Entity 070,LU,HoldCo,0.7062,2024-12-31,SYNTH-E-0070-2024-001
Person,P-0010,Person 10,US-DE,0,E-0071,Entity 071,SG,HoldCo,0.3918,2024-12-31,SYNTH-E-0071-2024-001
Person,P-0019,Person 19,US-DE,0,E-0071,Entity 071,SG,HoldCo,0.292,2024-12-31,SYNTH-E-0071-2024-001
Person,P-0010,Person 10,US-DE,0,E-0071,Entity 071,SG,HoldCo,0.3162,2024-12-31,SYNTH-E-0071-2024-001
Person,P-0003,Person 03,US-DE,0,E-0072,Entity 072,US-DE,HoldCo,0.3333,2024-12-31,SYNTH-E-0072-2024-001
Person,P-0004,Person 04,SG,0,E-0072,Entity 072,US-DE,HoldCo,0.4715,2024-12-31,SYNTH-E-0072-2024-001
Entity,E-0016,Entity 016,LU,0,E-0072,Entity 072,US-DE,HoldCo,0.1952,2024-12-31,SYNTH-E-0072-2024-001
Entity,E-0009,Entity 009,US-NY,0,E-0073,Entity 073,BVI,OperatingCo,0.5023,2024-12-31,SYNTH-E-0073-2024-001
Entity,E-0002,Entity 002,SG,0,E-0073,Entity 073,BVI,OperatingCo,0.2228,2024-12-31,SYNTH-E-0073-2024-001
Entity,E-0063,Entity 063,LU,0,E-0073,Entity 073,BVI,OperatingCo,0.2749,2024-12-31,SYNTH-E-0073-2024-001
Entity,E-0059,Entity 059,US-DE,0,E-0074,Entity 074,BVI,OperatingCo,1.0,2024-12-31,SYNTH-E-0074-2024-001
Entity,E-0069,Entity 069,US-DE,0,E-0075,Entity 075,SG,SPV,0.1798,2024-12-31,SYNTH-E-0075-2024-001
Entity,E-0060,Entity 060,US-DE,0,E-0075,Entity 075,SG,SPV,0.207,2024-12-31,SYNTH-E-0075-2024-001
Entity,E-0035,Entity 035,LU,0,E-0075,Entity 075,SG,SPV,0.6132,2024-12-31,SYNTH-E-0075-2024-001
Person,P-0001,Person 01,US-DE,1,E-0042,Entity 042,US-DE,OperatingCo,0.26,2024-12-31,SYNTH-E-0042-2024-001
Person,P-0002,Person 02,US-DE,1,E-0066,Entity 066,US-DE,HoldCo,0.24,2024-12-31,SYNTH-E-0066-2024-001
Entity,E-0066,Entity 042 HoldCo,US-DE,0,E-0042,Entity 042,US-DE,OperatingCo,0.3,2024-12-31,SYNTH-E-0042-2024-001
