source_counterparty_id,relationship_type,target_id,metric
CP-00064,UltimateBeneficialOwner,P-00064,1
CP-00065,TransactedWith,CP-00082,100065
CP-00065,UltimateBeneficialOwner,P-00065,1
CP-00066,TransactedWith,CP-00083,100066
CP-00066,UltimateBeneficialOwner,P-00066,1
CP-00067,TransactedWith,CP-00084,100067
CP-00067,UltimateBeneficialOwner,P-00067,1
CP-00068,TransactedWith,CP-00085,100068
CP-00068,UltimateBeneficialOwner,P-00068,1
CP-00069,TransactedWith,CP-00086,100069
CP-00069,UltimateBeneficialOwner,P-00069,1
CP-00070,TransactedWith,CP-00087,100070
CP-00070,UltimateBeneficialOwner,P-00070,1
CP-00071,TransactedWith,CP-00088,100071
CP-00071,UltimateBeneficialOwner,P-00071,1
CP-00072,TransactedWith,CP-00089,100072
CP-00072,UltimateBeneficialOwner,P-00072,1
CP-00073,TransactedWith,CP-00090,100073
CP-00073,UltimateBeneficialOwner,P-00073,1
CP-00074,TransactedWith,CP-00091,100074
CP-00074,UltimateBeneficialOwner,P-00074,1
CP-00075,TransactedWith,CP-00092,100075
CP-00075,UltimateBeneficialOwner,P-00075,1
CP-00076,TransactedWith,CP-00093,100076
CP-00076,UltimateBeneficialOwner,P-00076,1
CP-00077,TransactedWith,CP-00094,100077
CP-00077,UltimateBeneficialOwner,P-00077,1
CP-00078,TransactedWith,CP-00095,100078
CP-00078,UltimateBeneficialOwner,P-00078,1
CP-00079,TransactedWith,CP-00096,100079
CP-00079,UltimateBeneficialOwner,P-00079,1
CP-00080,TransactedWith,CP-00097,100080
CP-00080,UltimateBeneficialOwner,P-00080,1
CP-00081,TransactedWith,CP-00098,100081
CP-00081,UltimateBeneficialOwner,P-00081,1
CP-00082,TransactedWith,CP-00099,100082
CP-00082,UltimateBeneficialOwner,P-00082,1
CP-00083,TransactedWith,CP-00100,100083
CP-00083,UltimateBeneficialOwner,P-00083,1
CP-00084,TransactedWith,CP-00101,100084
CP-00084,UltimateBeneficialOwner,P-00084,1
CP-00085,TransactedWith,CP-00102,100085
CP-00085,UltimateBeneficialOwner,P-00085,1
CP-00086,TransactedWith,CP-00103,100086
CP-00086,UltimateBeneficialOwner,P-00086,1
CP-00087,TransactedWith,CP-00104,100087
CP-00087,UltimateBeneficialOwner,P-00087,1
CP-00088,TransactedWith,CP-00105,100088
CP-00088,UltimateBeneficialOwner,P-00088,1
CP-00089,TransactedWith,CP-00106,100089
CP-00089,UltimateBeneficialOwner,P-00089,1
CP-00090,TransactedWith,CP-00107,100090
CP-00090,UltimateBeneficialOwner,P-00090,1
CP-00091,TransactedWith,CP-00108,100091
CP-00091,UltimateBeneficialOwner,P-00091,1
CP-00092,TransactedWith,CP-00109,100092
CP-00092,UltimateBeneficialOwner,P-00092,1
CP-00093,TransactedWith,CP-00110,100093
CP-00093,UltimateBeneficialOwner,P-00093,1
CP-00094,TransactedWith,CP-00111,100094
CP-00094,UltimateBeneficialOwner,P-00094,1
CP-00095,TransactedWith,CP-00112,100095
CP-00095,UltimateBeneficialOwner,P-00095,1
CP-00096,TransactedWith,CP-00113,100096
CP-00096,UltimateBeneficialOwner,P-00096,1
CP-00097,TransactedWith,CP-00114,100097
CP-00097,UltimateBeneficialOwner,P-00097,1
CP-00098,TransactedWith,CP-00115,100098
CP-00098,UltimateBeneficialOwner,P-00098,1
CP-00099,TransactedWith,CP-00116,100099
CP-00099,UltimateBeneficialOwner,P-00099,1
CP-00100,TransactedWith,CP-00117,100100
CP-00100,UltimateBeneficialOwner,P-00100,1
CP-00101,TransactedWith,CP-00118,100101
CP-00101,UltimateBeneficialOwner,P-00101,1
CP-00102,TransactedWith,CP-00119,100102
CP-00102,UltimateBeneficialOwner,P-00102,1
CP-00103,TransactedWith,CP-00120,100103
CP-00103,UltimateBeneficialOwner,P-00103,1
CP-00104,TransactedWith,CP-00121,100104
CP-00104,UltimateBeneficialOwner,P-00104,1
CP-00105,TransactedWith,CP-00122,100105
CP-00105,UltimateBeneficialOwner,P-00105,1
CP-00106,TransactedWith,CP-00123,100106
CP-00106,UltimateBeneficialOwner,P-00106,1
CP-00107,TransactedWith,CP-00124,100107
CP-00107,UltimateBeneficialOwner,P-00107,1
CP-00108,TransactedWith,CP-00125,100108
CP-00108,UltimateBeneficialOwner,P-00108,1
CP-00109,TransactedWith,CP-00126,100109
CP-00109,UltimateBeneficialOwner,P-00109,1
CP-00110,TransactedWith,CP-00127,100110
CP-00110,UltimateBeneficialOwner,P-00110,1
CP-00111,TransactedWith,CP-00128,100111
CP-00111,UltimateBeneficialOwner,P-00111,1
CP-00112,TransactedWith,CP-00129,100112
CP-00112,UltimateBeneficialOwner,P-00112,1
CP-00113,TransactedWith,CP-00130,100113
CP-00113,UltimateBeneficialOwner,P-00113,1
CP-00114,TransactedWith,CP-00131,100114
CP-00114,UltimateBeneficialOwner,P-00114,1
CP-00115,TransactedWith,CP-00132,100115
CP-00115,UltimateBeneficialOwner,P-00115,1
CP-00116,TransactedWith,CP-00133,100116
CP-00116,UltimateBeneficialOwner,P-00116,1
CP-00117,TransactedWith,CP-00134,100117
CP-00117,UltimateBeneficialOwner,P-00117,1
CP-00118,TransactedWith,CP-00135,100118
CP-00118,UltimateBeneficialOwner,P-00118,1
CP-00119,TransactedWith,CP-00136,100119
CP-00119,UltimateBeneficialOwner,P-00119,1
CP-00120,TransactedWith,CP-00137,100120
CP-00120,UltimateBeneficialOwner,P-00120,1
CP-00121,TransactedWith,CP-00138,100121
CP-00121,UltimateBeneficialOwner,P-00121,1
CP-00122,TransactedWith,CP-00139,100122
CP-00122,UltimateBeneficialOwner,P-00122,1
CP-00123,TransactedWith,CP-00140,100123
CP-00123,UltimateBeneficialOwner,P-00123,1
CP-00124,TransactedWith,CP-00141,100124
CP-00124,UltimateBeneficialOwner,P-00124,1
CP-00125,TransactedWith,CP-00142,100125
CP-00125,UltimateBeneficialOwner,P-00125,1
CP-00126,TransactedWith,CP-00143,100126
CP-00126,UltimateBeneficialOwner,P-00126,1
CP-00127,TransactedWith,CP-00144,100127
CP-00127,UltimateBeneficialOwner,P-00127,1
CP-00128,TransactedWith,CP-00145,100128
CP-00128,UltimateBeneficialOwner,P-00128,1
CP-00129,TransactedWith,CP-00146,100129
CP-00129,UltimateBeneficialOwner,P-00129,1
CP-00130,TransactedWith,CP-00147,100130
CP-00130,UltimateBeneficialOwner,P-00130,1
CP-00131,TransactedWith,CP-00148,100131
CP-00131,UltimateBeneficialOwner,P-00131,1
CP-00132,TransactedWith,CP-00149,100132
CP-00132,UltimateBeneficialOwner,P-00132,1
CP-00133,TransactedWith,CP-00150,100133
CP-00133,UltimateBeneficialOwner,P-00133,1
CP-00134,TransactedWith,CP-00151,100134
CP-00134,UltimateBeneficialOwner,P-00134,1
CP-00135,TransactedWith,CP-00152,100135
CP-00135,UltimateBeneficialOwner,P-00135,1
CP-00136,TransactedWith,CP-00153,100136
CP-00136,UltimateBeneficialOwner,P-00136,1
CP-00137,TransactedWith,CP-00154,100137
CP-00137,UltimateBeneficialOwner,P-00137,1
CP-00138,TransactedWith,CP-00155,100138
CP-00138,UltimateBeneficialOwner,P-00138,1
CP-00139,TransactedWith,CP-00156,100139
CP-00139,UltimateBeneficialOwner,P-00139,1
CP-00140,TransactedWith,CP-00157,100140
CP-00140,UltimateBeneficialOwner,P-00140,1
CP-00141,TransactedWith,CP-00158,100141
CP-00141,UltimateBeneficialOwner,P-00141,1
CP-00142,TransactedWith,CP-00159,100142
CP-00142,UltimateBeneficialOwner,P-00142,1
CP-00143,TransactedWith,CP-00160,100143
CP-00143,UltimateBeneficialOwner,P-00143,1
CP-00144,TransactedWith,CP-00161,100144
CP-00144,UltimateBeneficialOwner,P-00144,1
CP-00145,TransactedWith,CP-00162,100145
CP-00145,UltimateBeneficialOwner,P-00145,1
CP-00146,TransactedWith,CP-00163,100146
CP-00146,UltimateBeneficialOwner,P-00146,1
CP-00147,TransactedWith,CP-00164,100147
CP-00147,UltimateBeneficialOwner,P-00147,1
CP-00148,TransactedWith,CP-00165,100148
CP-00148,UltimateBeneficialOwner,P-00148,1
CP-00149,TransactedWith,CP-00166,100149
CP-00149,UltimateBeneficialOwner,P-00149,1
CP-00150,TransactedWith,CP-00167,100150
CP-00150,UltimateBeneficialOwner,P-00150,1
CP-00151,TransactedWith,CP-00168,100151
CP-00151,UltimateBeneficialOwner,P-00151,1
CP-00152,TransactedWith,CP-00169,100152
CP-00152,UltimateBeneficialOwner,P-00152,1
CP-00153,TransactedWith,CP-00170,100153
CP-00153,UltimateBeneficialOwner,P-00153,1
CP-00154,TransactedWith,CP-00171,100154
CP-00154,UltimateBeneficialOwner,P-00154,1
CP-00155,TransactedWith,CP-00172,100155
CP-00155,UltimateBeneficialOwner,P-00155,1
CP-00156,TransactedWith,CP-00173,100156
CP-00156,UltimateBeneficialOwner,P-00156,1
CP-00157,TransactedWith,CP-00174,100157
CP-00157,UltimateBeneficialOwner,P-00157,1
CP-00158,TransactedWith,CP-00175,100158
CP-00158,UltimateBeneficialOwner,P-00158,1
CP-00159,TransactedWith,CP-00176,100159
CP-00159,UltimateBeneficialOwner,P-00159,1
CP-00160,TransactedWith,CP-00177,100160
CP-00160,UltimateBeneficialOwner,P-00160,1
CP-00161,TransactedWith,CP-00178,100161
CP-00161,UltimateBeneficialOwner,P-00161,1
CP-00162,TransactedWith,CP-00179,100162
CP-00162,UltimateBeneficialOwner,P-00162,1
CP-00163,TransactedWith,CP-00180,100163
CP-00163,UltimateBeneficialOwner,P-00163,1
CP-00164,TransactedWith,CP-00181,100164
CP-00164,UltimateBeneficialOwner,P-00164,1
CP-00165,TransactedWith,CP-00182,100165
CP-00165,UltimateBeneficialOwner,P-00165,1
CP-00166,TransactedWith,CP-00183,100166
CP-00166,UltimateBeneficialOwner,P-00166,1
CP-00167,TransactedWith,CP-00184,100167
CP-00167,UltimateBeneficialOwner,P-00167,1
CP-00168,TransactedWith,CP-00185,100168
CP-00168,UltimateBeneficialOwner,P-00168,1
CP-00169,TransactedWith,CP-00186,100169
CP-00169,UltimateBeneficialOwner,P-00169,1
CP-00170,TransactedWith,CP-00187,100170
CP-00170,UltimateBeneficialOwner,P-00170,1
CP-00171,TransactedWith,CP-00188,100171
CP-00171,UltimateBeneficialOwner,P-00171,1
CP-00172,TransactedWith,CP-00189,100172
CP-00172,UltimateBeneficialOwner,P-00172,1
CP-00173,TransactedWith,CP-00190,100173
CP-00173,UltimateBeneficialOwner,P-00173,1
CP-00174,TransactedWith,CP-00191,100174
CP-00174,UltimateBeneficialOwner,P-00174,1
CP-00175,TransactedWith,CP-00192,100175
CP-00175,UltimateBeneficialOwner,P-00175,1
CP-00176,TransactedWith,CP-00193,100176
CP-00176,UltimateBeneficialOwner,P-00176,1
CP-00177,TransactedWith,CP-00194,100177
CP-00177,UltimateBeneficialOwner,P-00177,1
CP-00178,TransactedWith,CP-00195,100178
CP-00178,UltimateBeneficialOwner,P-00178,1
CP-00179,TransactedWith,CP-00196,100179
CP-00179,UltimateBeneficialOwner,P-00179,1
CP-00180,TransactedWith,CP-00197,100180
CP-00180,UltimateBeneficialOwner,P-00180,1
CP-00181,TransactedWith,CP-00198,100181
CP-00181,UltimateBeneficialOwner,P-00181,1
CP-00182,TransactedWith,CP-00199,100182
CP-00182,UltimateBeneficialOwner,P-00182,1
CP-00183,TransactedWith,CP-00200,100183
CP-00183,UltimateBeneficialOwner,P-00183,1
CP-00184,TransactedWith,CP-00201,100184
CP-00184,UltimateBeneficialOwner,P-00184,1
CP-00185,TransactedWith,CP-00202,100185
CP-00185,UltimateBeneficialOwner,P-00185,1
CP-00186,TransactedWith,CP-00203,100186
CP-00186,UltimateBeneficialOwner,P-00186,1
CP-00187,TransactedWith,CP-00204,100187
CP-00187,UltimateBeneficialOwner,P-00187,1
CP-00188,TransactedWith,CP-00205,100188
CP-00188,UltimateBeneficialOwner,P-00188,1
CP-00189,TransactedWith,CP-00206,100189
CP-00189,UltimateBeneficialOwner,P-00189,1
CP-00190,TransactedWith,CP-00207,100190
CP-00190,UltimateBeneficialOwner,P-00190,1
CP-00191,TransactedWith,CP-00208,100191
CP-00191,UltimateBeneficialOwner,P-00191,1
CP-00192,TransactedWith,CP-00209,100192
CP-00192,UltimateBeneficialOwner,P-00192,1
CP-00193,TransactedWith,CP-00210,100193
CP-00193,UltimateBeneficialOwner,P-00193,1
CP-00194,TransactedWith,CP-00211,100194
CP-00194,UltimateBeneficialOwner,P-00194,1
CP-00195,TransactedWith,CP-00212,100195
CP-00195,UltimateBeneficialOwner,P-00195,1
CP-00196,TransactedWith,CP-00213,100196
CP-00196,UltimateBeneficialOwner,P-00196,1
CP-00197,TransactedWith,CP-00214,100197
CP-00197,UltimateBeneficialOwner,P-00197,1
CP-00198,TransactedWith,CP-00215,100198
CP-00198,UltimateBeneficialOwner,P-00198,1
CP-00199,TransactedWith,CP-00216,100199
CP-00199,UltimateBeneficialOwner,P-00199,1
CP-00200,TransactedWith,CP-00217,100200
CP-00200,UltimateBeneficialOwner,P-00200,1
CP-00201,TransactedWith,CP-00218,100201
CP-00201,UltimateBeneficialOwner,P-00201,1
CP-00202,TransactedWith,CP-00219,100202
CP-00202,UltimateBeneficialOwner,P-00202,1
CP-00203,TransactedWith,CP-00220,100203
CP-00203,UltimateBeneficialOwner,P-00203,1
CP-00204,TransactedWith,CP-00221,100204
CP-00204,UltimateBeneficialOwner,P-00204,1
CP-00205,TransactedWith,CP-00222,100205
CP-00205,UltimateBeneficialOwner,P-00205,1
CP-00206,TransactedWith,CP-00223,100206
CP-00206,UltimateBeneficialOwner,P-00206,1
CP-00207,TransactedWith,CP-00224,100207
CP-00207,UltimateBeneficialOwner,P-00207,1
CP-00208,TransactedWith,CP-00225,100208
CP-00208,UltimateBeneficialOwner,P-00208,1
CP-00209,TransactedWith,CP-00226,100209
CP-00209,UltimateBeneficialOwner,P-00209,1
CP-00210,TransactedWith,CP-00227,100210
CP-00210,UltimateBeneficialOwner,P-00210,1
CP-00211,TransactedWith,CP-00228,100211
CP-00211,UltimateBeneficialOwner,P-00211,1
CP-00212,TransactedWith,CP-00229,100212
CP-00212,UltimateBeneficialOwner,P-00212,1
CP-00213,TransactedWith,CP-00230,100213
CP-00213,UltimateBeneficialOwner,P-00213,1
CP-00214,TransactedWith,CP-00231,100214
CP-00214,UltimateBeneficialOwner,P-00214,1
CP-00215,TransactedWith,CP-00232,100215
CP-00215,UltimateBeneficialOwner,P-00215,1
CP-00216,TransactedWith,CP-00233,100216
CP-00216,UltimateBeneficialOwner,P-00216,1
CP-00217,TransactedWith,CP-00234,100217
CP-00217,UltimateBeneficialOwner,P-00217,1
CP-00218,TransactedWith,CP-00235,100218
CP-00218,UltimateBeneficialOwner,P-00218,1
CP-00219,TransactedWith,CP-00236,100219
CP-00219,UltimateBeneficialOwner,P-00219,1
CP-00220,TransactedWith,CP-00237,100220
CP-00220,UltimateBeneficialOwner,P-00220,1
CP-00221,TransactedWith,CP-00238,100221
CP-00221,UltimateBeneficialOwner,P-00221,1
CP-00222,TransactedWith,CP-00239,100222
CP-00222,UltimateBeneficialOwner,P-00222,1
CP-00223,TransactedWith,CP-00240,100223
CP-00223,UltimateBeneficialOwner,P-00223,1
CP-00224,TransactedWith,CP-00241,100224
CP-00224,UltimateBeneficialOwner,P-00224,1
CP-00225,TransactedWith,CP-00242,100225
CP-00225,UltimateBeneficialOwner,P-00225,1
CP-00226,TransactedWith,CP-00243,100226
CP-00226,UltimateBeneficialOwner,P-00226,1
CP-00227,TransactedWith,CP-00244,100227
CP-00227,UltimateBeneficialOwner,P-00227,1
CP-00228,TransactedWith,CP-00245,100228
CP-00228,UltimateBeneficialOwner,P-00228,1
CP-00229,TransactedWith,CP-00246,100229
CP-00229,UltimateBeneficialOwner,P-00229,1
CP-00230,TransactedWith,CP-00247,100230
CP-00230,UltimateBeneficialOwner,P-00230,1
CP-00231,TransactedWith,CP-00248,100231
CP-00231,UltimateBeneficialOwner,P-00231,1
CP-00232,TransactedWith,CP-00249,100232
CP-00232,UltimateBeneficialOwner,P-00232,1
CP-00233,TransactedWith,CP-00250,100233
CP-00233,UltimateBeneficialOwner,P-00233,1
CP-00234,TransactedWith,CP-00251,100234
CP-00234,UltimateBeneficialOwner,P-00234,1
CP-00235,TransactedWith,CP-00252,100235
CP-00235,UltimateBeneficialOwner,P-00235,1
CP-00236,TransactedWith,CP-00253,100236
CP-00236,UltimateBeneficialOwner,P-00236,1
CP-00237,TransactedWith,CP-00254,100237
CP-00237,UltimateBeneficialOwner,P-00237,1
CP-00238,TransactedWith,CP-00255,100238
CP-00238,UltimateBeneficialOwner,P-00238,1
CP-00239,TransactedWith,CP-00256,100239
CP-00239,UltimateBeneficialOwner,P-00239,1
CP-00240,TransactedWith,CP-00257,100240
CP-00240,UltimateBeneficialOwner,P-00240,1
CP-00241,TransactedWith,CP-00258,100241
CP-00241,UltimateBeneficialOwner,P-00241,1
CP-00242,TransactedWith,CP-00259,100242
CP-00242,UltimateBeneficialOwner,P-00242,1
CP-00243,TransactedWith,CP-00260,100243
CP-00243,UltimateBeneficialOwner,P-00243,1
CP-00244,TransactedWith,CP-00261,100244
CP-00244,UltimateBeneficialOwner,P-00244,1
CP-00245,TransactedWith,CP-00262,100245
CP-00245,UltimateBeneficialOwner,P-00245,1
CP-00246,TransactedWith,CP-00263,100246
CP-00246,UltimateBeneficialOwner,P-00246,1
CP-00247,TransactedWith,CP-00264,100247
CP-00247,UltimateBeneficialOwner,P-00247,1
CP-00248,TransactedWith,CP-00265,100248
CP-00248,UltimateBeneficialOwner,P-00248,1
CP-00249,TransactedWith,CP-00266,100249
CP-00249,UltimateBeneficialOwner,P-00249,1
CP-00250,TransactedWith,CP-00267,100250
CP-00250,UltimateBeneficialOwner,P-00250,1
CP-00251,TransactedWith,CP-00268,100251
CP-00251,UltimateBeneficialOwner,P-00251,1
CP-00252,TransactedWith,CP-00269,100252
CP-00252,UltimateBeneficialOwner,P-00252,1
CP-00253,TransactedWith,CP-00270,100253
CP-00253,UltimateBeneficialOwner,P-00253,1
CP-00254,TransactedWith,CP-00271,100254
CP-00254,UltimateBeneficialOwner,P-00254,1
CP-00255,TransactedWith,CP-00272,100255
CP-00255,UltimateBeneficialOwner,P-00255,1
CP-00256,TransactedWith,CP-00273,100256
CP-00256,UltimateBeneficialOwner,P-00256,1
CP-00257,TransactedWith,CP-00274,100257
CP-00257,UltimateBeneficialOwner,P-00257,1
CP-00258,TransactedWith,CP-00275,100258
CP-00258,UltimateBeneficialOwner,P-00258,1
CP-00259,TransactedWith,CP-00276,100259
CP-00259,UltimateBeneficialOwner,P-00259,1
CP-00260,TransactedWith,CP-00277,100260
CP-00260,UltimateBeneficialOwner,P-00260,1
CP-00261,TransactedWith,CP-00278,100261
CP-00261,UltimateBeneficialOwner,P-00261,1
CP-00262,TransactedWith,CP-00279,100262
CP-00262,UltimateBeneficialOwner,P-00262,1
CP-00263,TransactedWith,CP-00280,100263
CP-00263,UltimateBeneficialOwner,P-00263,1
CP-00264,TransactedWith,CP-00281,100264
CP-00264,UltimateBeneficialOwner,P-00264,1
CP-00265,TransactedWith,CP-00282,100265
CP-00265,UltimateBeneficialOwner,P-00265,1
CP-00266,TransactedWith,CP-00283,100266
CP-00266,UltimateBeneficialOwner,P-00266,1
CP-00267,TransactedWith,CP-00284,100267
CP-00267,UltimateBeneficialOwner,P-00267,1
CP-00268,TransactedWith,CP-00285,100268
CP-00268,UltimateBeneficialOwner,P-00268,1
CP-00269,TransactedWith,CP-00286,100269
CP-00269,UltimateBeneficialOwner,P-00269,1
CP-00270,TransactedWith,CP-00287,100270
CP-00270,UltimateBeneficialOwner,P-00270,1
CP-00271,TransactedWith,CP-00288,100271
CP-00271,UltimateBeneficialOwner,P-00271,1
CP-00272,TransactedWith,CP-00289,100272
CP-00272,UltimateBeneficialOwner,P-00272,1
CP-00273,TransactedWith,CP-00290,100273
CP-00273,UltimateBeneficialOwner,P-00273,1
CP-00274,TransactedWith,CP-00291,100274
CP-00274,UltimateBeneficialOwner,P-00274,1
CP-00275,TransactedWith,CP-00292,100275
CP-00275,UltimateBeneficialOwner,P-00275,1
CP-00276,TransactedWith,CP-00293,100276
CP-00276,UltimateBeneficialOwner,P-00276,1
CP-00277,TransactedWith,CP-00294,100277
CP-00277,UltimateBeneficialOwner,P-00277,1
CP-00278,TransactedWith,CP-00295,100278
CP-00278,UltimateBeneficialOwner,P-00278,1
CP-00279,TransactedWith,CP-00296,100279
CP-00279,UltimateBeneficialOwner,P-00279,1
CP-00280,TransactedWith,CP-00297,100280
CP-00280,UltimateBeneficialOwner,P-00280,1
CP-00281,TransactedWith,CP-00298,100281
CP-00281,UltimateBeneficialOwner,P-00281,1
CP-00282,TransactedWith,CP-00299,100282
CP-00282,UltimateBeneficialOwner,P-00282,1
CP-00283,TransactedWith,CP-00300,100283
CP-00283,UltimateBeneficialOwner,P-00283,1
CP-00284,TransactedWith,CP-00301,100284
CP-00284,UltimateBeneficialOwner,P-00284,1
CP-00285,TransactedWith,CP-00302,100285
CP-00285,UltimateBeneficialOwner,P-00285,1
CP-00286,TransactedWith,CP-00303,100286
CP-00286,UltimateBeneficialOwner,P-00286,1
CP-00287,TransactedWith,CP-00304,100287
CP-00287,UltimateBeneficialOwner,P-00287,1
CP-00288,TransactedWith,CP-00305,100288
CP-00288,UltimateBeneficialOwner,P-00288,1
CP-00289,TransactedWith,CP-00306,100289
CP-00289,UltimateBeneficialOwner,P-00289,1
CP-00290,TransactedWith,CP-00307,100290
CP-00290,UltimateBeneficialOwner,P-00290,1
CP-00291,TransactedWith,CP-00308,100291
