counterparty_id,legal_name,jurisdiction,risk_rating,last_kyc_refresh,sanctions_hits,ubo_count,aip_grounded_risk_summary
CP-00037,Counterparty 00037 Holdings,GB,critical,2026-03-25,0,2,"Grounded summary for CP-00037: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00038,Counterparty 00038 Holdings,KY,high,2026-03-24,0,3,"Grounded summary for CP-00038: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00039,Counterparty 00039 Holdings,DE,medium,2026-03-23,0,4,"Grounded summary for CP-00039: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00040,Counterparty 00040 Holdings,AE,low,2026-03-22,0,1,"Grounded summary for CP-00040: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00041,Counterparty 00041 Holdings,SG,critical,2026-03-21,0,2,"Grounded summary for CP-00041: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00042,Counterparty 00042 Holdings,US,high,2026-03-20,0,3,"Grounded summary for CP-00042: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00043,Counterparty 00043 Holdings,GB,medium,2026-03-19,0,4,"Grounded summary for CP-00043: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00044,Counterparty 00044 Holdings,KY,low,2026-03-18,0,1,"Grounded summary for CP-00044: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00045,Counterparty 00045 Holdings,DE,critical,2026-03-17,0,2,"Grounded summary for CP-00045: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00046,Counterparty 00046 Holdings,AE,high,2026-03-16,0,3,"Grounded summary for CP-00046: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00047,Counterparty 00047 Holdings,SG,medium,2026-03-15,0,4,"Grounded summary for CP-00047: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00048,Counterparty 00048 Holdings,US,low,2026-03-14,0,1,"Grounded summary for CP-00048: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00049,Counterparty 00049 Holdings,GB,critical,2026-03-13,0,2,"Grounded summary for CP-00049: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00050,Counterparty 00050 Holdings,KY,high,2026-03-12,0,3,"Grounded summary for CP-00050: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00051,Counterparty 00051 Holdings,DE,medium,2026-03-11,0,4,"Grounded summary for CP-00051: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00052,Counterparty 00052 Holdings,AE,low,2026-03-10,0,1,"Grounded summary for CP-00052: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00053,Counterparty 00053 Holdings,SG,critical,2026-03-09,0,2,"Grounded summary for CP-00053: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00054,Counterparty 00054 Holdings,US,high,2026-03-08,0,3,"Grounded summary for CP-00054: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00055,Counterparty 00055 Holdings,GB,medium,2026-03-07,0,4,"Grounded summary for CP-00055: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00056,Counterparty 00056 Holdings,KY,low,2026-03-06,0,1,"Grounded summary for CP-00056: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00057,Counterparty 00057 Holdings,DE,critical,2026-03-05,0,2,"Grounded summary for CP-00057: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00058,Counterparty 00058 Holdings,AE,high,2026-03-04,0,3,"Grounded summary for CP-00058: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00059,Counterparty 00059 Holdings,SG,medium,2026-03-03,0,4,"Grounded summary for CP-00059: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00060,Counterparty 00060 Holdings,US,low,2026-03-02,0,1,"Grounded summary for CP-00060: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00061,Counterparty 00061 Holdings,GB,critical,2026-03-01,0,2,"Grounded summary for CP-00061: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00062,Counterparty 00062 Holdings,KY,high,2026-02-28,0,3,"Grounded summary for CP-00062: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00063,Counterparty 00063 Holdings,DE,medium,2026-02-27,0,4,"Grounded summary for CP-00063: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00064,Counterparty 00064 Holdings,AE,low,2026-02-26,0,1,"Grounded summary for CP-00064: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00065,Counterparty 00065 Holdings,SG,critical,2026-02-25,0,2,"Grounded summary for CP-00065: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00066,Counterparty 00066 Holdings,US,high,2026-02-24,0,3,"Grounded summary for CP-00066: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00067,Counterparty 00067 Holdings,GB,medium,2026-02-23,0,4,"Grounded summary for CP-00067: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00068,Counterparty 00068 Holdings,KY,low,2026-02-22,0,1,"Grounded summary for CP-00068: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00069,Counterparty 00069 Holdings,DE,critical,2026-02-21,0,2,"Grounded summary for CP-00069: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00070,Counterparty 00070 Holdings,AE,high,2026-02-20,0,3,"Grounded summary for CP-00070: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00071,Counterparty 00071 Holdings,SG,medium,2026-02-19,0,4,"Grounded summary for CP-00071: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00072,Counterparty 00072 Holdings,US,low,2026-02-18,0,1,"Grounded summary for CP-00072: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00073,Counterparty 00073 Holdings,GB,critical,2026-02-17,0,2,"Grounded summary for CP-00073: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00074,Counterparty 00074 Holdings,KY,high,2026-02-16,0,3,"Grounded summary for CP-00074: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00075,Counterparty 00075 Holdings,DE,medium,2026-02-15,0,4,"Grounded summary for CP-00075: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00076,Counterparty 00076 Holdings,AE,low,2026-02-14,0,1,"Grounded summary for CP-00076: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00077,Counterparty 00077 Holdings,SG,critical,2026-02-13,0,2,"Grounded summary for CP-00077: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00078,Counterparty 00078 Holdings,US,high,2026-02-12,0,3,"Grounded summary for CP-00078: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00079,Counterparty 00079 Holdings,GB,medium,2026-02-11,0,4,"Grounded summary for CP-00079: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00080,Counterparty 00080 Holdings,KY,low,2026-02-10,0,1,"Grounded summary for CP-00080: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00081,Counterparty 00081 Holdings,DE,critical,2026-02-09,0,2,"Grounded summary for CP-00081: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00082,Counterparty 00082 Holdings,AE,high,2026-02-08,0,3,"Grounded summary for CP-00082: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00083,Counterparty 00083 Holdings,SG,medium,2026-02-07,0,4,"Grounded summary for CP-00083: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00084,Counterparty 00084 Holdings,US,low,2026-02-06,0,1,"Grounded summary for CP-00084: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00085,Counterparty 00085 Holdings,GB,critical,2026-02-05,0,2,"Grounded summary for CP-00085: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00086,Counterparty 00086 Holdings,KY,high,2026-02-04,0,3,"Grounded summary for CP-00086: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00087,Counterparty 00087 Holdings,DE,medium,2026-02-03,0,4,"Grounded summary for CP-00087: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00088,Counterparty 00088 Holdings,AE,low,2026-02-02,0,1,"Grounded summary for CP-00088: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00089,Counterparty 00089 Holdings,SG,critical,2026-02-01,0,2,"Grounded summary for CP-00089: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00090,Counterparty 00090 Holdings,US,high,2026-01-31,0,3,"Grounded summary for CP-00090: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00091,Counterparty 00091 Holdings,GB,medium,2026-01-30,0,4,"Grounded summary for CP-00091: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00092,Counterparty 00092 Holdings,KY,low,2026-01-29,0,1,"Grounded summary for CP-00092: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00093,Counterparty 00093 Holdings,DE,critical,2026-01-28,0,2,"Grounded summary for CP-00093: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00094,Counterparty 00094 Holdings,AE,high,2026-01-27,0,3,"Grounded summary for CP-00094: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00095,Counterparty 00095 Holdings,SG,medium,2026-01-26,0,4,"Grounded summary for CP-00095: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00096,Counterparty 00096 Holdings,US,low,2026-01-25,0,1,"Grounded summary for CP-00096: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00097,Counterparty 00097 Holdings,GB,critical,2026-01-24,0,2,"Grounded summary for CP-00097: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00098,Counterparty 00098 Holdings,KY,high,2026-01-23,0,3,"Grounded summary for CP-00098: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00099,Counterparty 00099 Holdings,DE,medium,2026-01-22,0,4,"Grounded summary for CP-00099: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00100,Counterparty 00100 Holdings,AE,low,2026-01-21,0,1,"Grounded summary for CP-00100: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00101,Counterparty 00101 Holdings,SG,critical,2026-01-20,0,2,"Grounded summary for CP-00101: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00102,Counterparty 00102 Holdings,US,high,2026-01-19,0,3,"Grounded summary for CP-00102: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00103,Counterparty 00103 Holdings,GB,medium,2026-01-18,0,4,"Grounded summary for CP-00103: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00104,Counterparty 00104 Holdings,KY,low,2026-01-17,0,1,"Grounded summary for CP-00104: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00105,Counterparty 00105 Holdings,DE,critical,2026-01-16,0,2,"Grounded summary for CP-00105: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00106,Counterparty 00106 Holdings,AE,high,2026-01-15,0,3,"Grounded summary for CP-00106: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00107,Counterparty 00107 Holdings,SG,medium,2026-01-14,0,4,"Grounded summary for CP-00107: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00108,Counterparty 00108 Holdings,US,low,2026-01-13,0,1,"Grounded summary for CP-00108: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00109,Counterparty 00109 Holdings,GB,critical,2026-01-12,0,2,"Grounded summary for CP-00109: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00110,Counterparty 00110 Holdings,KY,high,2026-01-11,0,3,"Grounded summary for CP-00110: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00111,Counterparty 00111 Holdings,DE,medium,2026-01-10,0,4,"Grounded summary for CP-00111: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00112,Counterparty 00112 Holdings,AE,low,2026-01-09,0,1,"Grounded summary for CP-00112: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00113,Counterparty 00113 Holdings,SG,critical,2026-01-08,0,2,"Grounded summary for CP-00113: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00114,Counterparty 00114 Holdings,US,high,2026-01-07,0,3,"Grounded summary for CP-00114: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00115,Counterparty 00115 Holdings,GB,medium,2026-01-06,0,4,"Grounded summary for CP-00115: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00116,Counterparty 00116 Holdings,KY,low,2026-01-05,0,1,"Grounded summary for CP-00116: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00117,Counterparty 00117 Holdings,DE,critical,2026-01-04,0,2,"Grounded summary for CP-00117: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00118,Counterparty 00118 Holdings,AE,high,2026-01-03,0,3,"Grounded summary for CP-00118: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00119,Counterparty 00119 Holdings,SG,medium,2026-01-02,0,4,"Grounded summary for CP-00119: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00120,Counterparty 00120 Holdings,US,low,2026-01-01,0,1,"Grounded summary for CP-00120: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00121,Counterparty 00121 Holdings,GB,critical,2025-12-31,0,2,"Grounded summary for CP-00121: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00122,Counterparty 00122 Holdings,KY,high,2025-12-30,0,3,"Grounded summary for CP-00122: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00123,Counterparty 00123 Holdings,DE,medium,2025-12-29,0,4,"Grounded summary for CP-00123: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00124,Counterparty 00124 Holdings,AE,low,2025-12-28,0,1,"Grounded summary for CP-00124: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00125,Counterparty 00125 Holdings,SG,critical,2025-12-27,0,2,"Grounded summary for CP-00125: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00126,Counterparty 00126 Holdings,US,high,2025-12-26,0,3,"Grounded summary for CP-00126: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00127,Counterparty 00127 Holdings,GB,medium,2025-12-25,0,4,"Grounded summary for CP-00127: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00128,Counterparty 00128 Holdings,KY,low,2025-12-24,0,1,"Grounded summary for CP-00128: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00129,Counterparty 00129 Holdings,DE,critical,2025-12-23,0,2,"Grounded summary for CP-00129: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00130,Counterparty 00130 Holdings,AE,high,2025-12-22,0,3,"Grounded summary for CP-00130: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00131,Counterparty 00131 Holdings,SG,medium,2025-12-21,0,4,"Grounded summary for CP-00131: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00132,Counterparty 00132 Holdings,US,low,2025-12-20,0,1,"Grounded summary for CP-00132: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00133,Counterparty 00133 Holdings,GB,critical,2025-12-19,0,2,"Grounded summary for CP-00133: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00134,Counterparty 00134 Holdings,KY,high,2025-12-18,0,3,"Grounded summary for CP-00134: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00135,Counterparty 00135 Holdings,DE,medium,2025-12-17,0,4,"Grounded summary for CP-00135: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00136,Counterparty 00136 Holdings,AE,low,2025-12-16,0,1,"Grounded summary for CP-00136: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00137,Counterparty 00137 Holdings,SG,critical,2025-12-15,0,2,"Grounded summary for CP-00137: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00138,Counterparty 00138 Holdings,US,high,2025-12-14,0,3,"Grounded summary for CP-00138: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00139,Counterparty 00139 Holdings,GB,medium,2025-12-13,0,4,"Grounded summary for CP-00139: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00140,Counterparty 00140 Holdings,KY,low,2025-12-12,0,1,"Grounded summary for CP-00140: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00141,Counterparty 00141 Holdings,DE,critical,2025-12-11,0,2,"Grounded summary for CP-00141: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00142,Counterparty 00142 Holdings,AE,high,2025-12-10,0,3,"Grounded summary for CP-00142: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00143,Counterparty 00143 Holdings,SG,medium,2025-12-09,0,4,"Grounded summary for CP-00143: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00144,Counterparty 00144 Holdings,US,low,2025-12-08,0,1,"Grounded summary for CP-00144: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00145,Counterparty 00145 Holdings,GB,critical,2025-12-07,0,2,"Grounded summary for CP-00145: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00146,Counterparty 00146 Holdings,KY,high,2025-12-06,0,3,"Grounded summary for CP-00146: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00147,Counterparty 00147 Holdings,DE,medium,2025-12-05,0,4,"Grounded summary for CP-00147: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00148,Counterparty 00148 Holdings,AE,low,2025-12-04,0,1,"Grounded summary for CP-00148: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00149,Counterparty 00149 Holdings,SG,critical,2025-12-03,0,2,"Grounded summary for CP-00149: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00150,Counterparty 00150 Holdings,US,high,2025-12-02,0,3,"Grounded summary for CP-00150: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00151,Counterparty 00151 Holdings,GB,medium,2025-12-01,0,4,"Grounded summary for CP-00151: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00152,Counterparty 00152 Holdings,KY,low,2025-11-30,0,1,"Grounded summary for CP-00152: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00153,Counterparty 00153 Holdings,DE,critical,2025-11-29,0,2,"Grounded summary for CP-00153: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00154,Counterparty 00154 Holdings,AE,high,2025-11-28,0,3,"Grounded summary for CP-00154: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00155,Counterparty 00155 Holdings,SG,medium,2025-11-27,0,4,"Grounded summary for CP-00155: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00156,Counterparty 00156 Holdings,US,low,2025-11-26,0,1,"Grounded summary for CP-00156: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00157,Counterparty 00157 Holdings,GB,critical,2025-11-25,0,2,"Grounded summary for CP-00157: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00158,Counterparty 00158 Holdings,KY,high,2025-11-24,0,3,"Grounded summary for CP-00158: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00159,Counterparty 00159 Holdings,DE,medium,2025-11-23,0,4,"Grounded summary for CP-00159: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00160,Counterparty 00160 Holdings,AE,low,2025-11-22,0,1,"Grounded summary for CP-00160: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00161,Counterparty 00161 Holdings,SG,critical,2025-11-21,0,2,"Grounded summary for CP-00161: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00162,Counterparty 00162 Holdings,US,high,2025-11-20,0,3,"Grounded summary for CP-00162: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00163,Counterparty 00163 Holdings,GB,medium,2025-11-19,0,4,"Grounded summary for CP-00163: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00164,Counterparty 00164 Holdings,KY,low,2025-11-18,0,1,"Grounded summary for CP-00164: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00165,Counterparty 00165 Holdings,DE,critical,2025-11-17,0,2,"Grounded summary for CP-00165: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00166,Counterparty 00166 Holdings,AE,high,2025-11-16,0,3,"Grounded summary for CP-00166: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00167,Counterparty 00167 Holdings,SG,medium,2025-11-15,0,4,"Grounded summary for CP-00167: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00168,Counterparty 00168 Holdings,US,low,2025-11-14,0,1,"Grounded summary for CP-00168: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00169,Counterparty 00169 Holdings,GB,critical,2025-11-13,0,2,"Grounded summary for CP-00169: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00170,Counterparty 00170 Holdings,KY,high,2025-11-12,0,3,"Grounded summary for CP-00170: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00171,Counterparty 00171 Holdings,DE,medium,2025-11-11,0,4,"Grounded summary for CP-00171: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00172,Counterparty 00172 Holdings,AE,low,2025-11-10,0,1,"Grounded summary for CP-00172: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00173,Counterparty 00173 Holdings,SG,critical,2025-11-09,0,2,"Grounded summary for CP-00173: jurisdictional exposure, UBO depth 2, sanctions hits 0."
CP-00174,Counterparty 00174 Holdings,US,high,2025-11-08,0,3,"Grounded summary for CP-00174: jurisdictional exposure, UBO depth 3, sanctions hits 0."
CP-00175,Counterparty 00175 Holdings,GB,medium,2025-11-07,0,4,"Grounded summary for CP-00175: jurisdictional exposure, UBO depth 4, sanctions hits 0."
CP-00176,Counterparty 00176 Holdings,KY,low,2025-11-06,0,1,"Grounded summary for CP-00176: jurisdictional exposure, UBO depth 1, sanctions hits 0."
CP-00177,Counterparty 00177 Holdings,DE,critical,2025-11-05,0,2,"Grounded summary for CP-00177: jurisdictional exposure, UBO depth 2, sanctions hits 0."
