counterparty_id,month,transaction_volume
CP-00027,2025-09,74300
CP-00027,2025-10,75500
CP-00027,2025-11,76700
CP-00027,2025-12,77900
CP-00028,2025-01,65200
CP-00028,2025-02,66400
CP-00028,2025-03,67600
CP-00028,2025-04,68800
CP-00028,2025-05,70000
CP-00028,2025-06,71200
CP-00028,2025-07,72400
CP-00028,2025-08,73600
CP-00028,2025-09,74800
CP-00028,2025-10,76000
CP-00028,2025-11,77200
CP-00028,2025-12,78400
CP-00029,2025-01,65700
CP-00029,2025-02,66900
CP-00029,2025-03,68100
CP-00029,2025-04,69300
CP-00029,2025-05,70500
CP-00029,2025-06,71700
CP-00029,2025-07,72900
CP-00029,2025-08,74100
CP-00029,2025-09,75300
CP-00029,2025-10,76500
CP-00029,2025-11,77700
CP-00029,2025-12,78900
CP-00030,2025-01,66200
CP-00030,2025-02,67400
CP-00030,2025-03,68600
CP-00030,2025-04,69800
CP-00030,2025-05,71000
CP-00030,2025-06,72200
CP-00030,2025-07,73400
CP-00030,2025-08,74600
CP-00030,2025-09,75800
CP-00030,2025-10,77000
CP-00030,2025-11,78200
CP-00030,2025-12,79400
CP-00031,2025-01,66700
CP-00031,2025-02,67900
CP-00031,2025-03,69100
CP-00031,2025-04,70300
CP-00031,2025-05,71500
CP-00031,2025-06,72700
CP-00031,2025-07,73900
CP-00031,2025-08,75100
CP-00031,2025-09,76300
CP-00031,2025-10,77500
CP-00031,2025-11,78700
CP-00031,2025-12,79900
CP-00032,2025-01,67200
CP-00032,2025-02,68400
CP-00032,2025-03,69600
CP-00032,2025-04,70800
CP-00032,2025-05,72000
CP-00032,2025-06,73200
CP-00032,2025-07,74400
CP-00032,2025-08,75600
CP-00032,2025-09,76800
CP-00032,2025-10,78000
CP-00032,2025-11,79200
CP-00032,2025-12,80400
CP-00033,2025-01,67700
CP-00033,2025-02,68900
CP-00033,2025-03,70100
CP-00033,2025-04,71300
CP-00033,2025-05,72500
CP-00033,2025-06,73700
CP-00033,2025-07,74900
CP-00033,2025-08,76100
CP-00033,2025-09,77300
CP-00033,2025-10,78500
CP-00033,2025-11,79700
CP-00033,2025-12,80900
CP-00034,2025-01,68200
CP-00034,2025-02,69400
CP-00034,2025-03,70600
CP-00034,2025-04,71800
CP-00034,2025-05,73000
CP-00034,2025-06,74200
CP-00034,2025-07,75400
CP-00034,2025-08,76600
CP-00034,2025-09,77800
CP-00034,2025-10,79000
CP-00034,2025-11,80200
CP-00034,2025-12,81400
CP-00035,2025-01,68700
CP-00035,2025-02,69900
CP-00035,2025-03,71100
CP-00035,2025-04,72300
CP-00035,2025-05,73500
CP-00035,2025-06,74700
CP-00035,2025-07,75900
CP-00035,2025-08,77100
CP-00035,2025-09,78300
CP-00035,2025-10,79500
CP-00035,2025-11,80700
CP-00035,2025-12,81900
CP-00036,2025-01,69200
CP-00036,2025-02,70400
CP-00036,2025-03,71600
CP-00036,2025-04,72800
CP-00036,2025-05,74000
CP-00036,2025-06,75200
CP-00036,2025-07,76400
CP-00036,2025-08,77600
CP-00036,2025-09,78800
CP-00036,2025-10,80000
CP-00036,2025-11,81200
CP-00036,2025-12,82400
CP-00037,2025-01,69700
CP-00037,2025-02,70900
CP-00037,2025-03,72100
CP-00037,2025-04,73300
CP-00037,2025-05,74500
CP-00037,2025-06,75700
CP-00037,2025-07,76900
CP-00037,2025-08,78100
CP-00037,2025-09,79300
CP-00037,2025-10,80500
CP-00037,2025-11,81700
CP-00037,2025-12,82900
CP-00038,2025-01,70200
CP-00038,2025-02,71400
CP-00038,2025-03,72600
CP-00038,2025-04,73800
CP-00038,2025-05,75000
CP-00038,2025-06,76200
CP-00038,2025-07,77400
CP-00038,2025-08,78600
CP-00038,2025-09,79800
CP-00038,2025-10,81000
CP-00038,2025-11,82200
CP-00038,2025-12,83400
CP-00039,2025-01,70700
CP-00039,2025-02,71900
CP-00039,2025-03,73100
CP-00039,2025-04,74300
CP-00039,2025-05,75500
CP-00039,2025-06,76700
CP-00039,2025-07,77900
CP-00039,2025-08,79100
CP-00039,2025-09,80300
CP-00039,2025-10,81500
CP-00039,2025-11,82700
CP-00039,2025-12,83900
CP-00040,2025-01,71200
CP-00040,2025-02,72400
CP-00040,2025-03,73600
CP-00040,2025-04,74800
CP-00040,2025-05,76000
CP-00040,2025-06,77200
CP-00040,2025-07,78400
CP-00040,2025-08,79600
CP-00040,2025-09,80800
CP-00040,2025-10,82000
CP-00040,2025-11,83200
CP-00040,2025-12,84400
CP-00041,2025-01,71700
CP-00041,2025-02,72900
CP-00041,2025-03,74100
CP-00041,2025-04,75300
CP-00041,2025-05,76500
CP-00041,2025-06,77700
CP-00041,2025-07,78900
CP-00041,2025-08,80100
CP-00041,2025-09,81300
CP-00041,2025-10,82500
CP-00041,2025-11,83700
CP-00041,2025-12,84900
CP-00042,2025-01,72200
CP-00042,2025-02,73400
CP-00042,2025-03,74600
CP-00042,2025-04,75800
CP-00042,2025-05,77000
CP-00042,2025-06,78200
CP-00042,2025-07,79400
CP-00042,2025-08,80600
CP-00042,2025-09,81800
CP-00042,2025-10,83000
CP-00042,2025-11,84200
CP-00042,2025-12,85400
CP-00043,2025-01,72700
CP-00043,2025-02,73900
CP-00043,2025-03,75100
CP-00043,2025-04,76300
CP-00043,2025-05,77500
CP-00043,2025-06,78700
CP-00043,2025-07,79900
CP-00043,2025-08,81100
CP-00043,2025-09,82300
CP-00043,2025-10,83500
CP-00043,2025-11,84700
CP-00043,2025-12,85900
CP-00044,2025-01,73200
CP-00044,2025-02,74400
CP-00044,2025-03,75600
CP-00044,2025-04,76800
CP-00044,2025-05,78000
CP-00044,2025-06,79200
CP-00044,2025-07,80400
CP-00044,2025-08,81600
CP-00044,2025-09,82800
CP-00044,2025-10,84000
CP-00044,2025-11,85200
CP-00044,2025-12,86400
CP-00045,2025-01,73700
CP-00045,2025-02,74900
CP-00045,2025-03,76100
CP-00045,2025-04,77300
CP-00045,2025-05,78500
CP-00045,2025-06,79700
CP-00045,2025-07,80900
CP-00045,2025-08,82100
CP-00045,2025-09,83300
CP-00045,2025-10,84500
CP-00045,2025-11,85700
CP-00045,2025-12,86900
CP-00046,2025-01,74200
CP-00046,2025-02,75400
CP-00046,2025-03,76600
CP-00046,2025-04,77800
CP-00046,2025-05,79000
CP-00046,2025-06,80200
CP-00046,2025-07,81400
CP-00046,2025-08,82600
CP-00046,2025-09,83800
CP-00046,2025-10,85000
CP-00046,2025-11,86200
CP-00046,2025-12,87400
CP-00047,2025-01,74700
CP-00047,2025-02,75900
CP-00047,2025-03,77100
CP-00047,2025-04,78300
CP-00047,2025-05,79500
CP-00047,2025-06,80700
CP-00047,2025-07,81900
CP-00047,2025-08,83100
CP-00047,2025-09,84300
CP-00047,2025-10,85500
CP-00047,2025-11,86700
CP-00047,2025-12,87900
CP-00048,2025-01,75200
CP-00048,2025-02,76400
CP-00048,2025-03,77600
CP-00048,2025-04,78800
CP-00048,2025-05,80000
CP-00048,2025-06,81200
CP-00048,2025-07,82400
CP-00048,2025-08,83600
CP-00048,2025-09,84800
CP-00048,2025-10,86000
CP-00048,2025-11,87200
CP-00048,2025-12,88400
CP-00049,2025-01,75700
CP-00049,2025-02,76900
CP-00049,2025-03,78100
CP-00049,2025-04,79300
CP-00049,2025-05,80500
CP-00049,2025-06,81700
CP-00049,2025-07,82900
CP-00049,2025-08,84100
CP-00049,2025-09,85300
CP-00049,2025-10,86500
CP-00049,2025-11,87700
CP-00049,2025-12,88900
CP-00050,2025-01,76200
CP-00050,2025-02,77400
CP-00050,2025-03,78600
CP-00050,2025-04,79800
CP-00050,2025-05,81000
CP-00050,2025-06,82200
CP-00050,2025-07,83400
CP-00050,2025-08,84600
CP-00050,2025-09,85800
CP-00050,2025-10,87000
CP-00050,2025-11,88200
CP-00050,2025-12,89400
